date,open,high,low,close,adjusted_close,volume
2022-09-15,105.01,106.21,103.31,103.9,103.7819,26494930
2022-09-16,102.97,104.03,101.855,103.63,103.5122,64540121
2022-09-19,102.54,104.02,102.37,103.85,103.732,19738600
2022-09-20,102.88,103.17,101.12,101.83,101.7143,24001670
2022-09-21,102.24,103.49,99.99,100.01,99.8963,26596760
2022-09-22,99.45,101.68,99.41,100.57,100.4557,21272680
2022-09-23,100.06,100.11,98.01,99.17,99.0573,25656961
2022-09-26,98.61,100.44,98.38,98.81,98.6977,22437939
2022-09-27,99.91,100.46,97.34,98.09,97.9785,24224990
2022-09-28,98.02,101.4,97.8,100.74,100.6255,24617000
2022-09-29,99.3,99.3,96.52,98.09,97.9785,21921520
2022-09-30,97.73,99.494,96.03,96.15,96.0407,26277830
2022-10-03,97.22,99.97,97.02,99.3,99.1871,24840029
2022-10-04,101.04,102.72,101.04,102.41,102.2936,22580930
2022-10-05,100.69,102.74,99.74,102.22,102.1038,18475520
2022-10-06,101.5,103.73,101.5,102.24,102.1238,17156240
2022-10-07,100.65,101.42,99.21,99.57,99.4568,24249910
